daily new infections,country,date
55,India,20 March
83,India,21 March
64,India,22 March
103,India,23 March
37,India,24 March
121,India,25 March
70,India,26 March
160,India,27 March
100,India,28 March
37,India,29 March
227,India,30 March
146,India,31 March
601,India,1 April
545,India,2 April
516,India,3 April
529,India,4 April
701,India,5 April
489,India,6 April
573,India,7 April
565,India,8 April
809,India,9 April
875,India,10 April
846,India,11 April
759,India,12 April
1248,India,13 April
1034,India,14 April
883,India,15 April
1060,India,16 April
922,India,17 April
2013,India,18 April
1250,India,19 April
924,India,20 April
1541,India,21 April
1290,India,22 April
1669,India,23 April
1408,India,24 April
1836,India,25 April
1607,India,26 April
1561,India,27 April
1873,India,28 April
1738,India,29 April
1801,India,30 April
2394,India,1 May
2442,India,2 May
2806,India,3 May
3932,India,4 May
2963,India,5 May
3587,India,6 May
3364,India,7 May
3344,India,8 May
3113,India,9 May
4353,India,10 May
3607,India,11 May
3524,India,12 May
3763,India,13 May
3942,India,14 May
3787,India,15 May
4864,India,16 May
5050,India,17 May
4360,India,18 May
6147,India,19 May
5553,India,20 May
6198,India,21 May
6568,India,22 May
6629,India,23 May
7113,India,24 May
6414,India,25 May
5843,India,26 May
7293,India,27 May
7300,India,28 May
8105,India,29 May
8336,India,30 May
8782,India,31 May
7761,India,1 June
8821,India,2 June
9663,India,3 June
9889,India,4 June
9471,India,5 June
10438,India,6 June
10864,India,7 June
8442,India,8 June
8852,India,9 June
12375,India,10 June
11128,India,11 June
11320,India,12 June
12023,India,13 June
11157,India,14 June
10243,India,15 June
11135,India,16 June
13103,India,17 June
13827,India,18 June